CATAID redshift SurfaceDensity CountInCyl AGEDenPar
    8823  0.05148  0.085000    2.0000   0.21000
    8833  0.07411   0.87500    3.0000   0.64000
    8853  0.07380   0.32000    3.0000   0.42700
    8865  0.07439   0.26000    2.0000   0.53000
    8866  0.06612 0.0090000    0.0000  0.035000
    8871  0.07505   0.47000    0.0000   0.90300
    8957  0.07498   0.25000    0.0000   0.58800
    8958  0.07997   0.39700    2.0000   0.58800
    8975  0.07977   0.18500    1.2000   0.46700
    8986  0.07741    1.0860    3.0000   0.15900
    8995  0.07531   0.31700    2.3080   0.99400
    8990  0.07139   0.12300    0.0000 0.0040000
    8993  0.06554  0.049000    1.0000   0.13300
    8991  0.06600  0.050000    2.0000  0.032000
    8999  0.07904   0.25400    2.3080   0.54300
    9010  0.07437   0.27800    1.0000   0.46700
    9032  0.06507 0.0090000    1.0380  0.081000
    9036  0.07885   0.18200    1.0380   0.45400
    9051  0.07130   0.12300    1.0380   0.20900
    9103  0.07869   0.27900    1.0590   0.72200
    9111  0.07037  0.064000    0.0000   0.13100
    9125  0.07691   0.40900    1.0000  0.076000
    9147  0.07026  0.065000    0.0000   0.16000
    9162  0.07653   0.19600    0.0000  0.047000
    9237  0.07822   0.66300    0.0000   0.74500
    9278  0.06419   0.13700    0.0000   -999.90
    9324  0.07540    1.8800    5.0000   -999.90
    9326  0.06437    4.5920    1.0000   -999.90
    9346  0.07609    2.4050    5.0000   -999.90
    9347  0.07497    2.5240    6.0000   -999.90
   14552  0.07767  0.036000    0.0000   0.25300
   14626  0.05506   0.28200    0.0000   0.76800
   14649  0.05442   0.36700    0.0000   0.79400
   14652  0.05456   0.40000    0.0000   0.80700
   14677  0.07305 0.0090000    0.0000 0.0030000
   14749  0.07948  0.058000    0.0000 0.0020000
   14800  0.05412    1.5140    4.0000    1.5760
   14799  0.07315  0.032000    0.0000   -999.90
   14861  0.05398    1.4990    1.0710    1.8610
   15008  0.07814   0.16400    0.0000   0.46300
   15062  0.07801   0.31200    0.0000   0.79000
   15103  0.05418   0.72300    0.0000    3.3340
   15140  0.06810  0.093000    0.0000  0.045000
   15154  0.07832   0.45100    4.0000    1.0250
   15159  0.05139    1.0850    3.0000   0.66600
   15160  0.07859   0.78200    2.0000   0.92100
   15165  0.07844   0.76400    2.0000   0.91400
   15162  0.05125    3.0320    7.0000   0.73200
   15173  0.05155    1.6180    5.0000   0.76500
   15175  0.05423    1.6540    5.0000    4.4020
   15187  0.05377    2.8450    7.6670    4.0950
   15190  0.06718  0.080000    0.0000  0.054000
   15191  0.05416    1.8660    6.5710    5.2390
   15219  0.07812   0.38200    0.0000   0.71300
   15224  0.07910   0.25200    1.0590   0.51100
